"chave" "valor_pt" "valor_en"
"1" "1" "1. Floresta" "1. Forest"
"2" "10" "2. Formação Natural não Florestal" "2. Non Forest Natural Formation"
"3" "14" "3. Agropecuária" "3. Farming"
"4" "22" "4. Área não Vegetada" "4. Non vegetated area"
"5" "26" "5. Corpo D'água" "5. Water"
"6" "27" "6. Não observado" "6. Not Observed"
"7" "3" "1.1 Formação Florestal" "1.1. Forest Formation"
"8" "4" "1.2. Formação Savânica" "1.2. Savanna Formation"
"9" "5" "1.3. Mangue" "1.3. Mangrove"
"10" "49" "1.5. Restinga Arborizada" "1.5. Wooded Sandbank Vegetation"
"11" "11" "2.1. Campo Alagado e Área Pantanosa" "2.1. Wetland"
"12" "12" "2.2. Formação Campestre" "2.2. Grassland"
"13" "32" "2.3. Apicum" "2.3. Hypersaline Tidal Flat"
"14" "29" "2.4. Afloramento Rochoso" "2.4. Rocky Outcrop"
"15" "50" "2.5. Restinga Herbácea" "2.5. Herbaceous Sandbank Vegetation"
"16" "13" "2.6. Outras Formações não Florestais" "2.6. Other non Forest Formations"
"17" "15" "3.1. Pastagem" "3.1. Pasture"
"18" "18" "3.2. Agricultura" "3.2. Agriculture"
"19" "9" "3.3. Silvicultura" "3.3. Forest Plantation"
"20" "21" "3.4. Mosaico de Usos" "3.4. Mosaic of Uses"
"21" "23" "4.1. Praia, Duna e Areal" "4.1. Beach, Dune and Sand Spot"
"22" "24" "4.2. Área Urbanizada" "4.2. Urban Area"
"23" "30" "4.3. Mineração" "4.3. Mining"
"24" "25" "4.4. Outras Áreas não Vegetadas" "4.4. Other non Vegetated Areas"
"25" "33" "5.1 Rio, Lago e Oceano" "5.1. River, Lake and Ocean"
"26" "31" "5.2 Aquicultura" "5.2. Aquaculture"
"27" "19" "3.2.1. Lavoura Temporária" "3.2.1. Temporary Crop"
"28" "36" "3.2.2. Lavoura Perene" "3.2.2. Perennial Crop"
"29" "39" "3.2.1.1. Soja" "3.2.1.1. Soybean"
"30" "20" "3.2.1.2. Cana" "3.2.1.2. Sugar cane"
"31" "40" "3.2.1.3. Arroz" "3.2.1.3. Rice"
"32" "62" "3.2.1.4. Algodão (beta)" "3.2.1.4. Cotton (beta)"
"33" "41" "3.2.1.5. Outras Lavouras Temporárias" "3.2.1.5. Other Temporary Crops"
"34" "46" "3.2.2.1. Café" "3.2.1.1. Coffee"
"35" "47" "3.2.2.2. Citrus" "3.2.1.2. Citrus"
"36" "48" "3.2.1.3. Outras Lavouras Perenes" "3.2.1.3. Other Perennial Crops"
