familia,especie_ou_subespecie_variedade,categoria,lista_2014
Acanthaceae,Aphelandra espirito-santensis,EN,1
Acanthaceae,Aphelandra margaritae,VU,1
Acanthaceae,Aphelandra maximiliana,EN,1
Acanthaceae,Aphelandra rigida,EN,0
Acanthaceae,Aphelandra stephanophysa,VU,0
Acanthaceae,Dyschoriste lavandulacea,EN,1
Acanthaceae,Dyschoriste smithii,CR,1
Acanthaceae,Justicia clausseniana,EN,1
Acanthaceae,Justicia genuflexa,VU,1
Acanthaceae,Justicia meyeniana,EN,0
Acanthaceae,Justicia nervata,EN,0
Acanthaceae,Justicia polita,EN,1
Acanthaceae,Justicia ramulosa,VU,1
Acanthaceae,Justicia tijucensis,VU,1
Acanthaceae,Odontonema dissitiflorum,EN,1
Acanthaceae,Pachystachys dubiosa,EN,1
Acanthaceae,Schaueria paranaensis,EN,1
Acanthaceae,Staurogyne brachiata,EN,1
Acanthaceae,Staurogyne elegans,VU,1
Acanthaceae,Staurogyne euryphylla,EN,0
Acanthaceae,Staurogyne itatiaiae,EN,1
Acanthaceae,Staurogyne vauthieriana,EN,1
Acanthaceae,Staurogyne veronicifolia,EN,1
Acanthaceae,Staurogyne warmingiana,EN,1
Acanthaceae,Stenandrium hatschbachii,EN,1
Acanthaceae,Stenandrium stenophyllum,EN,1
Achariaceae,Kuhlmanniodendron macrocarpum,EN,0
Alismataceae,Sagittaria lancifolia,VU,1
Alstroemeriaceae,Alstroemeria amabilis,EN,1
Alstroemeriaceae,Alstroemeria brasiliensis,EN,1
Alstroemeriaceae,Alstroemeria capixaba,CR,1
Alstroemeriaceae,Alstroemeria caryophyllaea,EN,1
Alstroemeriaceae,Alstroemeria malmeana,CR,1
Alstroemeriaceae,Alstroemeria orchidioides,EN,1
Alstroemeriaceae,Alstroemeria penduliflora,EN,1
Amaranthaceae,Alternanthera hirtula,VU,1
Amaranthaceae,Alternanthera januarensis,EN,1
Amaranthaceae,Amaranthus rosengurtii,EN,1
Amaranthaceae,Froelichiella grisea,EN,1
Amaranthaceae,Gomphrena centrota,EN,1
Amaranthaceae,Gomphrena hatschbachiana,EN,1
Amaranthaceae,Gomphrena nigricans,CR,1
Amaranthaceae,Gomphrena paranensis,VU,1
Amaranthaceae,Gomphrena pulchella,EN,1
Amaranthaceae,Gomphrena regeliana,VU,1
Amaranthaceae,Pfaffia argyrea,EN,1
Amaranthaceae,Pfaffia minarum,VU,1
Amaranthaceae,Quaternella glabratoides,EN,1
Amaryllidaceae,Griffinia aracensis,CR,1
Amaryllidaceae,Griffinia colatinensis,CR,1
Amaryllidaceae,Griffinia espiritensis,EN,1
Amaryllidaceae,Griffinia gardneriana,EN,1
Amaryllidaceae,Griffinia hyacinthina,EN,1
Amaryllidaceae,Griffinia intermedia,EN,0
Amaryllidaceae,Griffinia liboniana,EN,1
Amaryllidaceae,Griffinia nocturna,CR,1
Amaryllidaceae,Griffinia parviflora,CR,1
Amaryllidaceae,Griffinia paubrasilica,CR,1
Amaryllidaceae,Hippeastrum angustifolium,VU,1
Amaryllidaceae,Hippeastrum brasilianum,EN,1
Amaryllidaceae,Hippeastrum breviflorum,EN,1
Amaryllidaceae,Hippeastrum leucobasis,CR,1
Amaryllidaceae,Hippeastrum morelianum,VU,1
Amaryllidaceae,Hippeastrum,CR,1
